fname,label,manually_verified
fff81f55.wav,Cough,1
ffda1d2b.wav,Keys_jangling,1
ffd6b26c.wav,Fart,1
ffd52400.wav,Microwave_oven,1
ffcefb78.wav,Knock,1
ffcb5c56.wav,Computer_keyboard,1
ffc92b01.wav,Cello,1
ffa61f00.wav,Tearing,1
ffa4a506.wav,Cough,1
ff9eae6f.wav,Gong,1
ff95ac47.wav,Finger_snapping,1
ff758ee0.wav,Gunshot_or_gunfire,1
ff752a0c.wav,Clarinet,1
ff462e1b.wav,Cowbell,1
ff402c67.wav,Fireworks,1
ff3f21e7.wav,Snare_drum,1
ff12dece.wav,Saxophone,1
ff11628d.wav,Bass_drum,1
ff0d3545.wav,Snare_drum,1
ff0c153b.wav,Saxophone,1
ff0b5da2.wav,Gong,1
ff038671.wav,Saxophone,1
fefcacd6.wav,Drawer_open_or_close,1
fef60012.wav,Double_bass,1
fef2f4dd.wav,Burping_or_eructation,1
fec180d4.wav,Trumpet,1
fec00143.wav,Violin_or_fiddle,1
fea8ae24.wav,Double_bass,1
fe76c972.wav,Flute,1
fe626e30.wav,Tambourine,1
fe3a87db.wav,Fart,1
fde7f7b5.wav,Tambourine,1
fdcd59ed.wav,Cowbell,1
fdc342a3.wav,Flute,1
fdbbbcac.wav,Bus,1
fdaa6854.wav,Cowbell,1
fd738086.wav,Gunshot_or_gunfire,1
fd6a8735.wav,Fireworks,1
fd688f3d.wav,Violin_or_fiddle,1
fd3b6ffc.wav,Burping_or_eructation,1
fd3982a5.wav,Chime,1
fd3870bb.wav,Laughter,1
fd2df3ec.wav,Finger_snapping,1
fd1ae06f.wav,Meow,1
fd16747a.wav,Saxophone,1
fcfafbc8.wav,Double_bass,1
fceb6212.wav,Acoustic_guitar,1
fcd11bc8.wav,Violin_or_fiddle,1
fcbc3889.wav,Snare_drum,1
fcb2757b.wav,Flute,1
fcabcad4.wav,Shatter,1
fc819359.wav,Drawer_open_or_close,1
fc800c19.wav,Meow,1
fc740828.wav,Flute,1
fc55d588.wav,Acoustic_guitar,1
fc4463ef.wav,Drawer_open_or_close,1
fc35ee0b.wav,Meow,1
fc1913a3.wav,Writing,1
fc0d6bd0.wav,Gong,1
fc055cd8.wav,Telephone,1
fbd02161.wav,Fart,1
fbcbc236.wav,Oboe,1
fbc6a343.wav,Bass_drum,1
fbc1cfdb.wav,Chime,1
fba51845.wav,Violin_or_fiddle,1
fb7ed0a8.wav,Violin_or_fiddle,1
fb7b1a38.wav,Double_bass,1
fb74f4e3.wav,Drawer_open_or_close,1
fb5c836c.wav,Oboe,1
fb574a89.wav,Cowbell,1
fb56239c.wav,Gunshot_or_gunfire,1
fb3fef41.wav,Cough,1
fb33b7b3.wav,Telephone,1
fb2957a6.wav,Telephone,1
fb1f22b2.wav,Gong,1
fb108a65.wav,Flute,1
faf61d4f.wav,Meow,1
faf2af04.wav,Applause,1
faee8791.wav,Double_bass,1
faede4eb.wav,Violin_or_fiddle,1
fad5b9af.wav,Electric_piano,1
fab9db46.wav,Oboe,1
faa56a16.wav,Electric_piano,1
fa9088a4.wav,Shatter,1
fa80fe22.wav,Trumpet,1
fa722117.wav,Saxophone,1
fa71933a.wav,Double_bass,1
fa6b48ee.wav,Burping_or_eructation,1
fa5e59d2.wav,Gunshot_or_gunfire,1
fa50f460.wav,Scissors,1
fa4d4a92.wav,Acoustic_guitar,1
fa47fd75.wav,Fart,1
fa32109e.wav,Flute,1
fa2786f2.wav,Bark,1
fa2155fc.wav,Double_bass,1
fa101519.wav,Violin_or_fiddle,1
f9ef92a3.wav,Fireworks,1
f9c22f47.wav,Applause,1
f9c0004a.wav,Laughter,1
f97dbc8e.wav,Flute,1
f97695a4.wav,Double_bass,1
f975263f.wav,Electric_piano,1
f97068c5.wav,Writing,1
f9653de8.wav,Cello,1
f9582958.wav,Oboe,1
f939856c.wav,Laughter,1
f91e1cab.wav,Microwave_oven,1
f90e431b.wav,Bark,1
f8ff37cb.wav,Cough,1
f8f50808.wav,Keys_jangling,1
f8da7ef9.wav,Bass_drum,1
f8d96888.wav,Saxophone,1
f8c827a4.wav,Bark,1
f8c23e9a.wav,Trumpet,1
f8c1a609.wav,Fireworks,1
f8a99b37.wav,Bass_drum,1
f8799d8d.wav,Double_bass,1
f8742dce.wav,Telephone,1
f84529b9.wav,Tambourine,1
f836ce24.wav,Gunshot_or_gunfire,1
f834f946.wav,Cello,1
f82caa0e.wav,Clarinet,1
f7ebc9e1.wav,Electric_piano,1
f7d17c6f.wav,Glockenspiel,1
f79db766.wav,Trumpet,1
f78fbf28.wav,Bass_drum,1
f7673f35.wav,Cowbell,1
f757a9c1.wav,Cowbell,1
f711abcc.wav,Cough,1
f70dc5b3.wav,Telephone,1
f7083613.wav,Burping_or_eructation,1
f6e9f618.wav,Gunshot_or_gunfire,1
f6da0840.wav,Bark,1
f6c24a56.wav,Clarinet,1
f6a64c20.wav,Keys_jangling,1
f69d10f0.wav,Telephone,1
f69a21d2.wav,Tearing,1
f67b9e16.wav,Gunshot_or_gunfire,1
f63f3703.wav,Double_bass,1
f63d9273.wav,Saxophone,1
f61d3c84.wav,Squeak,1
f614ae85.wav,Telephone,1
f6037c59.wav,Saxophone,1
f5fee632.wav,Shatter,1
f5f24581.wav,Double_bass,1
f5e20dce.wav,Flute,1
f58c0c4b.wav,Scissors,1
f58895fc.wav,Gong,1
f581894c.wav,Fireworks,1
f57b608c.wav,Violin_or_fiddle,1
f5740c17.wav,Cough,1
f56c277f.wav,Violin_or_fiddle,1
f567398e.wav,Clarinet,1
f554ec02.wav,Gunshot_or_gunfire,1
f52e7d48.wav,Saxophone,1
f50c93f9.wav,Violin_or_fiddle,1
f50a3e03.wav,Finger_snapping,1
f4f68c35.wav,Harmonica,1
f4e5760e.wav,Burping_or_eructation,1
f4b33ae6.wav,Double_bass,1
f492ff55.wav,Applause,1
f488c69f.wav,Fart,1
f4759653.wav,Acoustic_guitar,1
f46e0e2e.wav,Double_bass,1
f4627f0b.wav,Laughter,1
f453d35f.wav,Saxophone,1
f44f1164.wav,Fart,1
f43f90a6.wav,Flute,1
f41dcbd7.wav,Cough,1
f40edcdd.wav,Acoustic_guitar,1
f40e1c8f.wav,Microwave_oven,1
f409e87c.wav,Clarinet,1
f3f134db.wav,Cowbell,1
f3e77609.wav,Violin_or_fiddle,1
f3d16179.wav,Violin_or_fiddle,1
f3ad4270.wav,Saxophone,1
f3a8c3be.wav,Finger_snapping,1
f3a3b166.wav,Gunshot_or_gunfire,1
f39c4e54.wav,Double_bass,1
f398cd94.wav,Burping_or_eructation,1
f37b69e6.wav,Saxophone,1
f375fc64.wav,Bus,1
f36f0a75.wav,Knock,1
f34e2853.wav,Flute,1
f341de12.wav,Harmonica,1
f32b46de.wav,Harmonica,1
f322771f.wav,Cough,1
f30c9ba4.wav,Acoustic_guitar,1
f2f466aa.wav,Oboe,1
f2dcffa1.wav,Finger_snapping,1
f2c0cce3.wav,Oboe,1
f2c0cb1a.wav,Saxophone,1
f2bcd3ad.wav,Fireworks,1
f2b78a6f.wav,Cello,1
f2b0e59d.wav,Acoustic_guitar,1
f2ad950e.wav,Trumpet,1
f2a5615b.wav,Keys_jangling,1
f2833420.wav,Trumpet,1
f278ec5b.wav,Glockenspiel,1
f2762ba2.wav,Flute,1
f26131d8.wav,Bass_drum,1
f2517f57.wav,Squeak,1
f2310f0d.wav,Clarinet,1
f21dd004.wav,Cello,1
f1c07799.wav,Clarinet,1
f1a0a22a.wav,Fart,1
f19f12a6.wav,Finger_snapping,1
f18df301.wav,Shatter,1
f184970b.wav,Saxophone,1
f1754aea.wav,Snare_drum,1
f114112a.wav,Shatter,1
f10c7f27.wav,Applause,1
f1062ecf.wav,Tearing,1
f0f8d174.wav,Shatter,1
f0dfe343.wav,Hi-hat,1
f0d644d1.wav,Clarinet,1
f0d315bc.wav,Saxophone,1
f0c79f5e.wav,Knock,1
f0c40412.wav,Applause,1
f0bfdfae.wav,Gong,1
f0b1afe7.wav,Squeak,1
f0a743c5.wav,Fart,1
f09f18fe.wav,Bark,1
f093caf9.wav,Hi-hat,1
f0727eac.wav,Snare_drum,1
f06c961d.wav,Tambourine,1
f05dfc96.wav,Meow,1
f042282c.wav,Double_bass,1
f0414445.wav,Saxophone,1
f040db67.wav,Flute,1
f0363605.wav,Burping_or_eructation,1
f01abfa9.wav,Saxophone,1
efe648b4.wav,Flute,1
efe2372f.wav,Laughter,1
efd6bce5.wav,Burping_or_eructation,1
efb29645.wav,Drawer_open_or_close,1
efaa36dc.wav,Fireworks,1
efa6c176.wav,Knock,1
ef93493f.wav,Acoustic_guitar,1
ef806317.wav,Harmonica,1
ef7b753e.wav,Meow,1
ef6ae93c.wav,Telephone,1
ef543e79.wav,Bass_drum,1
ef451bde.wav,Harmonica,1
ef417725.wav,Keys_jangling,1
ef368721.wav,Shatter,1
ef15ef14.wav,Flute,1
ef04f00d.wav,Saxophone,1
eee11dd7.wav,Double_bass,1
eed406df.wav,Microwave_oven,1
ee99c282.wav,Fart,1
ee972208.wav,Applause,1
ee95e004.wav,Violin_or_fiddle,1
ee930ce6.wav,Shatter,1
ee8776ee.wav,Violin_or_fiddle,1
ee6fa9f6.wav,Electric_piano,1
ee57a0d4.wav,Scissors,1
ee29b154.wav,Violin_or_fiddle,1
ee289465.wav,Bus,1
ee19d983.wav,Tambourine,1
edfb16fa.wav,Snare_drum,1
edf3fa19.wav,Violin_or_fiddle,1
edf36df4.wav,Snare_drum,1
edb6c686.wav,Microwave_oven,1
ed984a25.wav,Fireworks,1
ed97defe.wav,Tearing,1
ed94d3ad.wav,Knock,1
ed7f0281.wav,Chime,1
ed75d358.wav,Tambourine,1
ed3e9e93.wav,Meow,1
ed2f12a1.wav,Gunshot_or_gunfire,1
ed274378.wav,Violin_or_fiddle,1
ed125cf8.wav,Acoustic_guitar,1
ed0e89d8.wav,Telephone,1
ece8c018.wav,Clarinet,1
ecbf2e5c.wav,Telephone,1
ecb0fe34.wav,Cowbell,1
eca6ae5d.wav,Telephone,1
ec9c647a.wav,Burping_or_eructation,1
ec950e90.wav,Bass_drum,1
ec7f8f29.wav,Gong,1
ec7a1265.wav,Harmonica,1
ec74b3b7.wav,Cello,1
ec6bec74.wav,Flute,1
ec6afeb6.wav,Saxophone,1
ec693023.wav,Clarinet,1
ec647286.wav,Saxophone,1
ec61f6ef.wav,Flute,1
ec4e8b9b.wav,Tambourine,1
ec4c394c.wav,Violin_or_fiddle,1
ec385bcd.wav,Shatter,1
ec24aa8a.wav,Meow,1
ec193a31.wav,Knock,1
ec0c872c.wav,Squeak,1
ebfc03c3.wav,Electric_piano,1
ebf27ca9.wav,Gunshot_or_gunfire,1
ebe7524b.wav,Bass_drum,1
ebcbb32a.wav,Gong,1
eb4f21b9.wav,Telephone,1
eb27071b.wav,Cello,1
eafcc771.wav,Drawer_open_or_close,1
eaf93312.wav,Meow,1
eae18f5e.wav,Meow,1
eace95fa.wav,Cello,1
eaaa96c9.wav,Gong,1
ea964ecc.wav,Double_bass,1
ea8909a2.wav,Bus,1
ea8737d8.wav,Burping_or_eructation,1
ea806dcf.wav,Clarinet,1
ea6cb757.wav,Bass_drum,1
ea5bd9ac.wav,Saxophone,1
ea205019.wav,Gunshot_or_gunfire,1
ea197625.wav,Gunshot_or_gunfire,1
ea168c74.wav,Saxophone,1
ea08f43d.wav,Telephone,1
e9da730a.wav,Violin_or_fiddle,1
e9a0945b.wav,Glockenspiel,1
e98202a8.wav,Electric_piano,1
e97d9707.wav,Cello,1
e94eabd3.wav,Electric_piano,1
e94c6d67.wav,Cello,1
e948c3bf.wav,Fireworks,1
e943becf.wav,Meow,1
e9313222.wav,Snare_drum,1
e92eb9cf.wav,Cough,1
e92bf0fa.wav,Acoustic_guitar,1
e90b8ebf.wav,Writing,1
e907f461.wav,Tearing,1
e9055021.wav,Meow,1
e8fd7f2f.wav,Violin_or_fiddle,1
e8fa13d1.wav,Double_bass,1
e8f862ba.wav,Acoustic_guitar,1
e8e45406.wav,Electric_piano,1
e8e00924.wav,Snare_drum,1
e8d6b248.wav,Double_bass,1
e8d640b3.wav,Cowbell,1
e89ebeb9.wav,Violin_or_fiddle,1
e898cffd.wav,Oboe,1
e897db78.wav,Hi-hat,1
e8952741.wav,Tearing,1
e8924446.wav,Finger_snapping,1
e88d6949.wav,Gunshot_or_gunfire,1
e87f8984.wav,Squeak,1
e8358d8d.wav,Hi-hat,1
e820a056.wav,Chime,1
e819e784.wav,Violin_or_fiddle,1
e7da5c3c.wav,Glockenspiel,1
e7cd4355.wav,Finger_snapping,1
e7cc98a2.wav,Oboe,1
e7c7704e.wav,Shatter,1
e7c71b47.wav,Gunshot_or_gunfire,1
e7c29db8.wav,Squeak,1
e7bbd7e7.wav,Laughter,1
e7adefd3.wav,Acoustic_guitar,1
e75c2db8.wav,Flute,1
e75be6d7.wav,Hi-hat,1
e7320b5e.wav,Violin_or_fiddle,1
e72b777a.wav,Bass_drum,1
e71a5c26.wav,Knock,1
e70f053a.wav,Writing,1
e70c41d4.wav,Cello,1
e700e426.wav,Violin_or_fiddle,1
e6b9cdfc.wav,Snare_drum,1
e6a15387.wav,Gunshot_or_gunfire,1
e6949d46.wav,Keys_jangling,1
e673349d.wav,Gunshot_or_gunfire,1
e6718362.wav,Violin_or_fiddle,1
e65e1323.wav,Glockenspiel,1
e65a827f.wav,Writing,1
e6597186.wav,Double_bass,1
e6371181.wav,Shatter,1
e6364d7d.wav,Tambourine,1
e63098c2.wav,Chime,1
e62d770e.wav,Cello,1
e6237f2d.wav,Violin_or_fiddle,1
e5f9437c.wav,Telephone,1
e5e26b77.wav,Squeak,1
e5d6a115.wav,Telephone,1
e5c11a2e.wav,Clarinet,1
e5b10b60.wav,Laughter,1
e5a36c3c.wav,Saxophone,1
e59668cc.wav,Violin_or_fiddle,1
e56fbcf3.wav,Trumpet,1
e55c5160.wav,Cello,1
e5578399.wav,Gong,1
e54fbe33.wav,Finger_snapping,1
e51e1770.wav,Clarinet,1
e512a233.wav,Finger_snapping,1
e50d2535.wav,Tearing,1
e5083445.wav,Flute,1
e4f2abc5.wav,Meow,1
e4ee0c55.wav,Trumpet,1
e4ece500.wav,Acoustic_guitar,1
e4e83740.wav,Shatter,1
e4c2644c.wav,Snare_drum,1
e4b5417a.wav,Harmonica,1
e4966885.wav,Fart,1
e4958adc.wav,Snare_drum,1
e4890814.wav,Bark,1
e46a04c9.wav,Glockenspiel,1
e45a3fed.wav,Computer_keyboard,1
e43f7db2.wav,Clarinet,1
e4247392.wav,Microwave_oven,1
e4090cfa.wav,Fart,1
e3f479f3.wav,Violin_or_fiddle,1
e3eff846.wav,Burping_or_eructation,1
e3d2709c.wav,Fireworks,1
e3bf4182.wav,Double_bass,1
e3bf2bf9.wav,Electric_piano,1
e3b1eb3a.wav,Gunshot_or_gunfire,1
e3a31aa0.wav,Double_bass,1
e39f888d.wav,Tearing,1
e38a54df.wav,Squeak,1
e35c9a8a.wav,Saxophone,1
e34b7b46.wav,Electric_piano,1
e3306eb5.wav,Gong,1
e30cb7d5.wav,Chime,1
e2fc95ed.wav,Bus,1
e2fa3ed3.wav,Clarinet,1
e2ea348e.wav,Harmonica,1
e2d993ec.wav,Cello,1
e2d02712.wav,Laughter,1
e2cf6d59.wav,Saxophone,1
e2c205ac.wav,Cello,1
e2bfc42d.wav,Laughter,1
e29bf67e.wav,Trumpet,1
e2939c3a.wav,Writing,1
e21de38c.wav,Writing,1
e1eed479.wav,Cowbell,1
e1d91dfc.wav,Tearing,1
e1ca0934.wav,Meow,1
e1b646bb.wav,Flute,1
e18f928a.wav,Telephone,1
e186a347.wav,Writing,1
e152333d.wav,Meow,1
e11fb127.wav,Gunshot_or_gunfire,1
e1002ae9.wav,Knock,1
e0fef04d.wav,Applause,1
e0ecd1a6.wav,Double_bass,1
e0ba0ac2.wav,Bus,1
e09acb52.wav,Violin_or_fiddle,1
e0990da3.wav,Clarinet,1
e08db496.wav,Applause,1
e087f227.wav,Flute,1
e0862ccc.wav,Computer_keyboard,1
e076d62b.wav,Microwave_oven,1
e048451f.wav,Cough,1
e0435db2.wav,Cough,1
e030fb43.wav,Shatter,1
e022b7b0.wav,Oboe,1
e01a1ca0.wav,Fireworks,1
dffc9217.wav,Writing,1
dfed3be6.wav,Violin_or_fiddle,1
dfd3ad5c.wav,Glockenspiel,1
dfc4a855.wav,Clarinet,1
dfbeefb5.wav,Saxophone,1
dfb8afae.wav,Flute,1
dfb42c74.wav,Drawer_open_or_close,1
df98be15.wav,Violin_or_fiddle,1
df890004.wav,Bass_drum,1
df79d259.wav,Bark,1
df66a03d.wav,Gunshot_or_gunfire,1
df630658.wav,Snare_drum,1
df6223de.wav,Applause,1
df2aac3c.wav,Gunshot_or_gunfire,1
df1bc322.wav,Chime,1
df0de169.wav,Cowbell,1
df0573f3.wav,Clarinet,1
defcfbdc.wav,Electric_piano,1
dee0d5ac.wav,Violin_or_fiddle,1
dec1d656.wav,Flute,1
deb87700.wav,Double_bass,1
de9a384f.wav,Hi-hat,1
de99b2d9.wav,Flute,1
de941b74.wav,Saxophone,1
de8de828.wav,Knock,1
de77f91e.wav,Saxophone,1
de5bad53.wav,Bark,1
de5248bc.wav,Glockenspiel,1
de487b53.wav,Saxophone,1
de2e28fe.wav,Bus,1
de2b8ade.wav,Acoustic_guitar,1
de2b5cdb.wav,Writing,1
de2114d5.wav,Bus,1
de0debf5.wav,Snare_drum,1
de06cab6.wav,Violin_or_fiddle,1
ddf51005.wav,Hi-hat,1
ddf23920.wav,Clarinet,1
dde05348.wav,Acoustic_guitar,1
ddb0a078.wav,Gunshot_or_gunfire,1
ddae73e4.wav,Fireworks,1
dd803ae5.wav,Telephone,1
dd7d890a.wav,Harmonica,1
dd67b8a9.wav,Clarinet,1
dd54505d.wav,Burping_or_eructation,1
dd043345.wav,Acoustic_guitar,1
dce89f20.wav,Glockenspiel,1
dcdb44b0.wav,Cowbell,1
dcd892b1.wav,Knock,1
dcd37383.wav,Saxophone,1
dcc7acba.wav,Clarinet,1
dcc21853.wav,Saxophone,1
dcc0f7cd.wav,Bus,1
dc9abbcb.wav,Microwave_oven,1
dc981a38.wav,Clarinet,1
dc7e791d.wav,Saxophone,1
dc77de48.wav,Scissors,1
dc6afbe5.wav,Telephone,1
dc6676ff.wav,Flute,1
dc5fc5c5.wav,Computer_keyboard,1
dc5be9d7.wav,Cello,1
dc57b564.wav,Tearing,1
dc51a8b4.wav,Double_bass,1
dc4463f8.wav,Telephone,1
dc24a8f4.wav,Bark,1
dbe8ee07.wav,Writing,1
dbe4aa4b.wav,Telephone,1
dbe1946a.wav,Laughter,1
dbd908b8.wav,Drawer_open_or_close,1
dbd81df9.wav,Fart,1
dbac4e95.wav,Gong,1
dba6817d.wav,Saxophone,1
db9d4d18.wav,Acoustic_guitar,1
db9a04ba.wav,Clarinet,1
db98ae02.wav,Microwave_oven,1
db7faa42.wav,Bark,1
db672630.wav,Cowbell,1
db3ced72.wav,Flute,1
db1a5e69.wav,Harmonica,1
daf5af0a.wav,Violin_or_fiddle,1
daedfdde.wav,Cough,1
dae936cc.wav,Violin_or_fiddle,1
dad51ef3.wav,Cowbell,1
dab05a71.wav,Gunshot_or_gunfire,1
daa3d0dd.wav,Harmonica,1
da8ea649.wav,Double_bass,1
da8d6df0.wav,Trumpet,1
da85039c.wav,Glockenspiel,1
da7bd5da.wav,Flute,1
da4d4d5a.wav,Finger_snapping,1
da4b0379.wav,Hi-hat,1
da49fddf.wav,Glockenspiel,1
da3f8050.wav,Hi-hat,1
da38a108.wav,Knock,1
da370084.wav,Fireworks,1
da354910.wav,Knock,1
da2f1e87.wav,Clarinet,1
da1330e0.wav,Violin_or_fiddle,1
da0650ea.wav,Applause,1
d9ff1435.wav,Microwave_oven,1
d9f07bed.wav,Meow,1
d9ef2d9a.wav,Microwave_oven,1
d9ece336.wav,Computer_keyboard,1
d9e5bbc4.wav,Tambourine,1
d9cb51e2.wav,Violin_or_fiddle,1
d9c103a6.wav,Tearing,1
d9a58d0c.wav,Violin_or_fiddle,1
d99b648a.wav,Clarinet,1
d9748e59.wav,Writing,1
d9540472.wav,Violin_or_fiddle,1
d953e602.wav,Bus,1
d94c94f0.wav,Saxophone,1
d93c3a10.wav,Laughter,1
d931fa78.wav,Laughter,1
d91ee4c3.wav,Telephone,1
d91b8441.wav,Harmonica,1
d914225a.wav,Violin_or_fiddle,1
d910a8c7.wav,Cello,1
d8dee93f.wav,Laughter,1
d8c29016.wav,Fart,1
d8ac74e8.wav,Acoustic_guitar,1
d8abf134.wav,Fireworks,1
d8a257e5.wav,Acoustic_guitar,1
d88f0774.wav,Telephone,1
d87661e5.wav,Glockenspiel,1
d87530b2.wav,Applause,1
d85da760.wav,Gong,1
d84c8c43.wav,Violin_or_fiddle,1
d834f80f.wav,Tambourine,1
d83456f2.wav,Violin_or_fiddle,1
d82f8f87.wav,Knock,1
d81d44f3.wav,Telephone,1
d81a8b02.wav,Burping_or_eructation,1
d80e1c9e.wav,Laughter,1
d7e5753e.wav,Bus,1
d7e56425.wav,Cello,1
d7dbcb1a.wav,Glockenspiel,1
d7d8c724.wav,Squeak,1
d7d8b12a.wav,Tearing,1
d7b31417.wav,Meow,1
d79b9208.wav,Violin_or_fiddle,1
d7857dfb.wav,Bus,1
d77a30c4.wav,Oboe,1
d774a3f3.wav,Keys_jangling,1
d77358d0.wav,Cowbell,1
d76bdc15.wav,Squeak,1
d73efc33.wav,Violin_or_fiddle,1
d7241122.wav,Harmonica,1
d6f56693.wav,Burping_or_eructation,1
d6f501d7.wav,Cough,1
d6d2c880.wav,Gunshot_or_gunfire,1
d6d11418.wav,Tearing,1
d6c9f529.wav,Tambourine,1
d6c04b7d.wav,Computer_keyboard,1
d6a0f248.wav,Shatter,1
d69149ab.wav,Writing,1
d68bc291.wav,Trumpet,1
d68ab424.wav,Saxophone,1
d6854eb4.wav,Hi-hat,1
d6691f17.wav,Saxophone,1
d668e7f7.wav,Saxophone,1
d6665734.wav,Saxophone,1
d648bf8f.wav,Finger_snapping,1
d63f15f8.wav,Finger_snapping,1
d63d8c42.wav,Cowbell,1
d63ce88d.wav,Violin_or_fiddle,1
d62fe2ff.wav,Trumpet,1
